"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-22","F1071RW6","Lenovo Switzerland Direct","1531","79","62.75"
"2020-10-22","F1074ELB","Lenovo Finland Direct","603","47","11.44"
"2020-10-22","F107DTZT","Lenovo Sweden Direct","1205","61","22.08"
"2020-10-22","F107MVC9","Lenovo Ireland Direct","949","86","25.27"
"2020-10-22","F107P4UT","Lenovo UK Direct","10070","508","309.77"
"2020-10-22","X0006AXW","Bing Lenovo NL","1577","124","97.39"
"2020-10-22","X000XGAU","Bing Lenovo DK","468","34","11.64"
"2020-10-22","X7004130","Lenovo Austria Direct","1864","103","19.60"
"2020-10-22","X8349003","Lenovo France Direct","8739","645","487.01"
"2020-10-23","B004295N","Lenovo Belgium","574","109","96.58"
"2020-10-23","B004ETLE","Lenovo Italy","3066","388","109.65"
"2020-10-23","B004SUHL","Lenovo Norway","216","23","3.66"
"2020-10-23","B004V7BM","Lenovo Spain","12529","728","360.37"
"2020-10-23","F1071RW6","Lenovo Switzerland Direct","1460","84","55.83"
"2020-10-23","F1074ELB","Lenovo Finland Direct","445","24","4.31"
"2020-10-23","F107DTZT","Lenovo Sweden Direct","1227","72","26.06"
"2020-10-23","F107MVC9","Lenovo Ireland Direct","941","57","28.73"
"2020-10-23","F107P4UT","Lenovo UK Direct","9492","484","298.63"
"2020-10-23","X0006AXW","Bing Lenovo NL","1314","128","77.74"
"2020-10-23","X000XGAU","Bing Lenovo DK","336","42","10.59"
"2020-10-23","X7004130","Lenovo Austria Direct","1673","66","15.23"
"2020-10-23","X8349003","Lenovo France Direct","9937","693","522.09"
"2020-10-24","B004295N","Lenovo Belgium","390","58","42.71"
"2020-10-24","B004ETLE","Lenovo Italy","1278","241","77.09"
"2020-10-24","B004SUHL","Lenovo Norway","157","24","2.44"
"2020-10-24","B004V7BM","Lenovo Spain","7920","521","240.90"
"2020-10-24","F1071RW6","Lenovo Switzerland Direct","781","59","40.07"
"2020-10-24","F1074ELB","Lenovo Finland Direct","320","20","5.06"
"2020-10-24","F107DTZT","Lenovo Sweden Direct","938","63","23.45"
"2020-10-24","F107MVC9","Lenovo Ireland Direct","1029","70","43.61"
"2020-10-24","F107P4UT","Lenovo UK Direct","5475","387","246.14"
"2020-10-24","X0006AXW","Bing Lenovo NL","1167","112","86.28"
"2020-10-24","X000XGAU","Bing Lenovo DK","242","22","11.50"
"2020-10-24","X7004130","Lenovo Austria Direct","1379","86","18.14"
"2020-10-24","X8349003","Lenovo France Direct","8033","578","355.29"
"2020-10-25","B004295N","Lenovo Belgium","386","67","60.67"
"2020-10-25","B004ETLE","Lenovo Italy","1418","232","82.39"
"2020-10-25","B004SUHL","Lenovo Norway","146","21","1.90"
"2020-10-25","B004V7BM","Lenovo Spain","8576","610","282.23"
"2020-10-25","F1071RW6","Lenovo Switzerland Direct","875","86","60.41"
"2020-10-25","F1074ELB","Lenovo Finland Direct","295","26","5.54"
"2020-10-25","F107DTZT","Lenovo Sweden Direct","1118","65","27.42"
"2020-10-25","F107MVC9","Lenovo Ireland Direct","980","63","29.88"
"2020-10-25","F107P4UT","Lenovo UK Direct","5407","371","237.43"
"2020-10-25","X0006AXW","Bing Lenovo NL","1532","126","89.56"
"2020-10-25","X000XGAU","Bing Lenovo DK","288","31","4.25"
"2020-10-25","X7004130","Lenovo Austria Direct","1173","54","13.69"
"2020-10-25","X8349003","Lenovo France Direct","8477","594","362.85"
"2020-10-26","B004295N","Lenovo Belgium","644","119","103.68"
"2020-10-26","B004ETLE","Lenovo Italy","3762","388","109.06"
"2020-10-26","B004SUHL","Lenovo Norway","221","29","4.35"
"2020-10-26","B004V7BM","Lenovo Spain","10617","752","308.00"
